"time","x1","x2","der(x1)","der(x2)","u","y"
0,1,0,0,-8.254830360965466,0,1
0.1,0.9589194504054994,-0.8178204163534582,-0.8178204163534582,-8.025185193832023,0.004999979166692709,0.9589194504054994
0.2,0.8380108277717824,-1.588013504584671,-1.588013504584671,-7.281910007593349,0.009999833334166666,0.8380108277717824
0.3,0.6448343489642523,-2.252239694090622,-2.252239694090622,-5.881458596987521,0.01499943750632809,0.6448343489642523
0.4,0.3934671564917412,-2.739388178070197,-2.739388178070197,-3.741085956948521,0.01999866669333308,0.3934671564917412
0.5,0.1051957783172791,-2.980288717645666,-2.980288717645666,-1.00507091836973,0.02499739591471233,0.1051957783172791
0.6,-0.1929706147061092,-2.934279522334796,-2.934279522334796,1.911310345730713,0.02999550020249566,-0.1929706147061092
0.7,-0.4723059960813025,-2.609224542078007,-2.609224542078007,4.497964382430194,0.03499285460433619,-0.4723059960813025
0.8,-0.7072330985174429,-2.057384728272738,-2.057384728272738,6.413869730306342,0.03998933418663417,-0.7072330985174429
0.9,-0.8786402477436445,-1.351072511955678,-1.351072511955678,7.597427161643355,0.04498481403766024,-0.8786402477436445
1,-0.9745846803751808,-0.5583536674050467,-0.5583536674050467,8.167447633092746,0.04997916927067833,-0.9745846803751808
1.1,-0.9892540055609446,0.266376955905295,0.266376955905295,8.25236941826895,0.05497227502706774,-0.9892540055609446
1.2,-0.9217788712603792,1.076874292597716,1.076874292597716,7.875375546897287,0.0599640064794446,-0.9217788712603792
1.3,-0.7760160115905922,1.822776022093703,1.822776022093703,6.936286080967856,0.0649542388347826,-0.7760160115905922
1.4,-0.5614817268847493,2.440534178021178,2.440534178021178,5.293189204726199,0.06994284733753275,-0.5614817268847493
1.5,-0.2946327493754569,2.85688068802005,2.85688068802005,2.923640346255296,0.07492970727274236,-0.2946327493754569
1.6,0.001037635406069091,3.008818766487928,3.008818766487928,0.06973549246227122,0.07991469396917271,0.001037635406069091
1.7,0.2974001922488474,2.870633244752772,2.870633244752772,-2.789780763883048,0.08489768280241603,0.2974001922488474
1.8,0.5662726032937319,2.467027861148315,2.467027861148315,-5.173090395184311,0.08987854919801105,0.5662726032937319
1.9,0.7840298249421989,1.860475078432563,1.860475078432563,-6.832362086445979,0.0948571686345573,0.7840298249421989
2,0.9340554523654209,1.12416005905804,1.12416005905804,-7.787777690608107,0.09983341664682816,0.9340554523654209
2.1,1.006666469566003,0.3214685057784965,0.3214685057784965,-8.185174227363488,0.1048071688288825,1.006666469566003
2.2,0.9977944801068724,-0.4980501734968434,-0.4980501734968434,-8.13334193073683,0.1097783008371748,0.9977944801068724
2.3,0.9079700477720331,-1.289889953026966,-1.289889953026966,-7.618047019513671,0.1147466883936638,0.9079700477720331
2.4,0.7424558937252342,-2.002014669787946,-2.002014669787946,-6.512823658657069,0.1197122072889194,0.7424558937252342
2.5,0.5124224164129939,-2.568185645879062,-2.568185645879062,-4.68506980461441,0.1246747333852277,0.5124224164129939
2.6,0.2361275695079108,-2.915622438033959,-2.915622438033959,-2.165311516348161,0.1296341426196949,0.2361275695079108
2.7,-0.0614917583776595,-2.988234920088055,-2.988234920088055,0.7374443707442396,0.1345903110073483,-0.0614917583776595
2.8,-0.3518392399340659,-2.77220716256923,-2.77220716256923,3.520313955665355,0.1395431146442365,-0.3518392399340659
2.9,-0.6074617494816024,-2.303139100766357,-2.303139100766357,5.743894701357727,0.1444924297105264,-0.6074617494816024
3,-0.8062713291925927,-1.648317910833345,-1.648317910833345,7.229425326018712,0.1494381324735992,-0.8062713291925927
3.1,-0.933354206867593,-0.8799084696433511,-0.8799084696433511,8.037899034668003,0.1543800992911434,-0.933354206867593
3.2,-0.9805024610550397,-0.05855431004442815,-0.05855431004442815,8.309242026336916,0.159318206614246,-0.9805024610550397
3.3,-0.9449405408713629,0.7665715218056564,0.7665715218056564,8.114885577056914,0.164252330990481,-0.9449405408713629
3.4,-0.828659942076144,1.547159563432623,1.547159563432623,7.39941070717692,0.169182349066996,-0.828659942076144
3.5,-0.6389367766173608,2.224411880564682,2.224411880564682,6.024226071263761,0.174108137593596,-0.6389367766173608
3.6,-0.3896010415438775,2.726944033047373,2.726944033047373,3.905057736209482,0.1790295734258242,-0.3896010415438775
3.7,-0.1017321998136326,2.984894694158137,2.984894694158137,1.180218859627796,0.1839465335280413,-0.1017321998136326
3.8,0.1977718668196302,2.956386814962243,2.956386814962243,-1.738660137976446,0.1888588949765006,0.1977718668196302
3.9,0.4801634062038881,2.648029255473963,2.648029255473963,-4.337708982655471,0.1937665349624219,0.4801634062038881
4,0.7197482269927129,2.111484310556272,2.111484310556272,-6.268037216385483,0.1986693307950612,0.7197482269927129
4.1,0.8972729788600796,1.419115435319337,1.419115435319337,-7.464211912984418,0.203567159904778,0.8972729788600796
4.2,1.000664895918139,0.6390035527430247,0.6390035527430247,-8.049892827650657,0.2084598998460996,1.000664895918139
4.3,1.023944484859748,-0.1753373605048383,-0.1753373605048383,-8.166019037500636,0.2133474283007823,1.023944484859748
4.4,0.9659170876435727,-0.9799919038907505,-0.9799919038907505,-7.85118968777109,0.2182296230808694,0.9659170876435727
4.5,0.829809324172348,-1.728269986452701,-1.728269986452701,-7.014737881600298,0.2231063621317455,0.829809324172348
4.6,0.6241188024996721,-2.360395962045274,-2.360395962045274,-5.504814087223591,0.2279775235351884,0.6241188024996721
4.7,0.3640037839935271,-2.804431628747593,-2.804431628747593,-3.259698778694357,0.2328429855124168,0.3640037839935271
4.8,0.0717614135289301,-2.993714310650367,-2.993714310650367,-0.4656727819499911,0.2377026264271346,0.0717614135289301
4.9,-0.2250485766484516,-2.894049231501401,-2.894049231501401,2.43169426010121,0.2425563247885721,-0.2250485766484516
5,-0.4978814617441813,-2.520849357901822,-2.520849357901822,4.93231927645077,0.2474039592545229,-0.4978814617441813
5.1,-0.7219850382659895,-1.931170535158451,-1.931170535158451,6.735436369187301,0.2522454086343781,-0.7219850382659895
5.2,-0.879344888697703,-1.198092225295897,-1.198092225295897,7.813932589490436,0.2570805518921551,-0.879344888697703
5.3,-0.9590640853391493,-0.3883410570708262,-0.3883410570708262,8.292909362183965,0.2619092681495244,-0.9590640853391493
